Junction_ID,Date,Time,Vehicle_Count,Average_Speed_kmph,Congestion_Level,Weather,Signal_State_Green,Signal_State_Red
J2,11-03-2024,04:30,18,31.54128738,1,Fog,20,42
J3,11-03-2024,04:30,18,31.27341428,2,Fog,32,34
J4,11-03-2024,04:30,23,47.39592985,2,Fog,59,41
J5,11-03-2024,04:30,17,39.70818722,1,Fog,28,47
J1,11-03-2024,04:45,12,38.47380513,1,Fog,28,61
J2,11-03-2024,04:45,20,34.81223645,2,Fog,52,49
J3,11-03-2024,04:45,24,30.30292606,2,Fog,36,62
J4,11-03-2024,04:45,23,41.81746318,2,Fog,56,67
J5,11-03-2024,04:45,17,34.72370451,1,Fog,55,32
J1,11-03-2024,05:00,15,43.76714896,1,Fog,57,54
J2,11-03-2024,05:00,22,42.37896268,2,Fog,30,88
J3,11-03-2024,05:00,20,36.08863577,2,Fog,42,79
J4,11-03-2024,05:00,18,29.47273599,1,Fog,51,66
J5,11-03-2024,05:00,22,28.61570899,2,Fog,56,73
J1,11-03-2024,05:15,22,41.34800191,2,Fog,35,65
J2,11-03-2024,05:15,17,55.57222349,1,Fog,21,31
J3,11-03-2024,05:15,15,44.31773342,1,Fog,36,86
J4,11-03-2024,05:15,29,41.42382869,2,Fog,34,50
J5,11-03-2024,05:15,15,45.37384617,1,Fog,42,44
J1,11-03-2024,05:30,22,39.50637943,2,Fog,21,30
J2,11-03-2024,05:30,24,39.38855153,2,Fog,32,55
J3,11-03-2024,05:30,18,29.67132179,1,Fog,46,50
J4,11-03-2024,05:30,15,39.07846354,1,Fog,53,53
J5,11-03-2024,05:30,18,39.96266084,3,Fog,52,35
J1,11-03-2024,05:45,22,23.76396914,2,Fog,20,45
J2,11-03-2024,05:45,22,29.26656565,2,Fog,57,42
J3,11-03-2024,05:45,25,43.54250916,2,Fog,40,86
J4,11-03-2024,05:45,19,39.94004979,1,Fog,28,52
J5,11-03-2024,05:45,28,41.74321064,2,Fog,47,78
J1,11-03-2024,06:00,15,39.38470575,1,Fog,24,75
J2,11-03-2024,06:00,18,34.8870839,1,Fog,44,43
J3,11-03-2024,06:00,17,36.40602881,1,Fog,31,66
J4,11-03-2024,06:00,16,37.72655202,1,Fog,20,72
J5,11-03-2024,06:00,13,26.81443932,1,Fog,44,39
J1,11-03-2024,06:15,18,36.03554317,1,Fog,32,31
J2,11-03-2024,06:15,27,42.19413203,2,Fog,44,72
J3,11-03-2024,06:15,24,48.62044567,1,Fog,31,55
J4,11-03-2024,06:15,23,50.83375314,2,Fog,54,70
J5,11-03-2024,06:15,19,49.80759184,1,Fog,56,87
J1,11-03-2024,06:30,21,36.2794036,2,Fog,54,58
J2,11-03-2024,06:30,25,38.72049321,2,Fog,23,65
J3,11-03-2024,06:30,26,44.25840174,2,Fog,55,88
J4,11-03-2024,06:30,21,29.15100726,2,Fog,44,64
J5,11-03-2024,06:30,17,53.32999677,1,Fog,58,87
J1,11-03-2024,06:45,17,31.21442479,1,Fog,54,67
J2,11-03-2024,06:45,14,32.41453585,1,Fog,44,34
J3,11-03-2024,06:45,23,51.37701795,2,Fog,48,33
J4,11-03-2024,06:45,33,48.01880494,2,Fog,28,79
J5,11-03-2024,06:45,19,27.99327035,1,Fog,58,35
J1,11-03-2024,07:00,30,36.83478242,2,Fog,57,61
J2,11-03-2024,07:00,41,52.94539193,3,Fog,53,80
J3,11-03-2024,07:00,30,24.94520437,2,Fog,56,41
J4,11-03-2024,07:00,29,40.82889878,3,Fog,32,62
J5,11-03-2024,07:00,35,32.1599118,2,Fog,40,65
J1,11-03-2024,07:15,42,20.38054858,3,Fog,21,44
J2,11-03-2024,07:15,34,33.8733478,2,Fog,30,30
J3,11-03-2024,07:15,26,34.47950922,2,Fog,40,88
J4,11-03-2024,07:15,38,48.62415622,2,Fog,34,40
J5,11-03-2024,07:15,31,33.91747787,2,Fog,57,67
J1,11-03-2024,07:30,24,37.06766478,2,Fog,38,53
J2,11-03-2024,07:30,36,32.68707296,2,Fog,58,57
J3,11-03-2024,07:30,32,23.5233911,2,Fog,20,89
J4,11-03-2024,07:30,40,40.11632122,3,Fog,54,35
J5,11-03-2024,07:30,31,39.03721729,2,Fog,50,44
J1,11-03-2024,07:45,31,43.58646907,2,Fog,30,76
J2,11-03-2024,07:45,36,46.46858474,2,Fog,58,37
J3,11-03-2024,07:45,38,13.47486583,2,Fog,45,70
J4,11-03-2024,07:45,41,34.4652239,3,Fog,29,64
J5,11-03-2024,07:45,49,18.07250116,3,Fog,48,52
J1,11-03-2024,08:00,27,48.07768184,2,Clear,34,64
J2,11-03-2024,08:00,41,15.23493315,3,Clear,40,87
J3,11-03-2024,08:00,25,41.1404642,2,Clear,38,33
J4,11-03-2024,08:00,29,47.5966804,1,Clear,40,82
J5,11-03-2024,08:00,38,32.55674591,2,Clear,28,78
J1,11-03-2024,08:15,42,39.36028051,3,Clear,39,72
J2,11-03-2024,08:15,38,27.7008118,2,Clear,23,36
J3,11-03-2024,08:15,34,21.30563725,2,Clear,33,64
J4,11-03-2024,08:15,43,34.09387217,3,Clear,30,49
J5,11-03-2024,08:15,29,46.58785978,2,Clear,25,44
J1,11-03-2024,08:30,38,34.81958644,2,Clear,22,86
J2,11-03-2024,08:30,29,32.88039655,2,Clear,20,50
J3,11-03-2024,08:30,26,38.79861927,2,Clear,40,75
J4,11-03-2024,08:30,28,48.19552256,2,Clear,27,33
J5,11-03-2024,08:30,34,35.61035432,2,Clear,55,89
J1,11-03-2024,08:45,35,34.19919744,2,Clear,53,41
J2,11-03-2024,08:45,31,28.87142578,2,Clear,39,40
J3,11-03-2024,08:45,45,40.88662683,3,Clear,47,37
J4,11-03-2024,08:45,30,27.16258316,2,Clear,56,46
J5,11-03-2024,08:45,26,32.58117393,3,Clear,37,74
J1,11-03-2024,09:00,39,34.24769575,2,Clear,49,86
J2,11-03-2024,09:00,30,40.65613622,2,Clear,28,39
J3,11-03-2024,09:00,34,35.99613155,2,Clear,49,82
J4,11-03-2024,09:00,37,32.63392842,2,Clear,40,38
J5,11-03-2024,09:00,28,37.76547962,2,Clear,49,89
J1,11-03-2024,09:15,28,36.00093976,2,Clear,46,34
J2,11-03-2024,09:15,33,42.39595296,2,Clear,51,72
J3,11-03-2024,09:15,31,38.22041405,2,Clear,41,50
J4,11-03-2024,09:15,31,36.92831136,2,Clear,25,62
J5,11-03-2024,09:15,30,28.36341056,2,Clear,55,87
J1,11-03-2024,09:30,35,26.79842816,2,Clear,30,87
J2,11-03-2024,09:30,33,24.47290704,2,Clear,54,70
J3,11-03-2024,09:30,32,34.44189716,2,Clear,31,79
J4,11-03-2024,09:30,39,44.01232231,2,Clear,59,89
J5,11-03-2024,09:30,34,33.37735101,2,Clear,37,86
J1,11-03-2024,09:45,26,31.79105025,2,Clear,38,31
J2,11-03-2024,09:45,30,30.09952052,2,Clear,25,68
J3,11-03-2024,09:45,37,33.57642316,1,Clear,24,82
J4,11-03-2024,09:45,33,33.87770868,2,Clear,54,68
J5,11-03-2024,09:45,34,28.85798074,2,Clear,54,56
J1,11-03-2024,10:00,40,49.32550694,3,Clear,26,45
J2,11-03-2024,10:00,39,43.33126386,2,Clear,36,81
J3,11-03-2024,10:00,30,34.47789132,2,Clear,31,85
J4,11-03-2024,10:00,28,38.64473197,2,Clear,54,59
J5,11-03-2024,10:00,51,37.31589897,3,Clear,47,74
J1,11-03-2024,10:15,43,40.21648637,3,Clear,22,46
J2,11-03-2024,10:15,27,30.57034763,2,Clear,40,69
J3,11-03-2024,10:15,33,40.12993189,2,Clear,34,74
J4,11-03-2024,10:15,34,43.00179194,2,Clear,32,85
J5,11-03-2024,10:15,27,51.50097173,2,Clear,56,54
J1,11-03-2024,10:30,37,29.9937853,2,Clear,24,66
J2,11-03-2024,10:30,31,33.70174766,2,Clear,52,73
J3,11-03-2024,10:30,31,32.42363312,2,Clear,57,46
J4,11-03-2024,10:30,23,36.20893096,2,Clear,55,86
J5,11-03-2024,10:30,41,52.81067765,3,Clear,59,45
J1,11-03-2024,10:45,34,44.61398748,2,Clear,34,43
J2,11-03-2024,10:45,32,41.88766512,2,Clear,49,80
J3,11-03-2024,10:45,33,29.4533488,2,Clear,33,51
J4,11-03-2024,10:45,36,23.21295772,2,Clear,26,60
J5,11-03-2024,10:45,42,12.798491,3,Clear,38,78
J1,11-03-2024,11:00,21,39.14732194,2,Clear,44,30
J2,11-03-2024,11:00,15,34.28755231,3,Clear,53,67
J3,11-03-2024,11:00,14,51.50027326,1,Clear,45,77
J4,11-03-2024,11:00,19,49.50167126,1,Clear,37,69
J5,11-03-2024,11:00,19,37.15784316,1,Clear,51,41
J1,11-03-2024,11:15,21,45.57719754,2,Clear,23,71
J2,11-03-2024,11:15,23,38.71886231,2,Clear,23,57
J3,11-03-2024,11:15,25,36.67830463,2,Clear,30,56
J4,11-03-2024,11:15,15,35.42194674,1,Clear,49,67
J5,11-03-2024,11:15,24,36.95537457,2,Clear,57,30
J1,11-03-2024,11:30,24,30.05414192,2,Clear,47,65
J2,11-03-2024,11:30,17,37.90289154,1,Clear,22,36
J3,11-03-2024,11:30,28,47.80539408,2,Clear,44,55
J4,11-03-2024,11:30,20,52.23912079,2,Clear,42,72
J5,11-03-2024,11:30,22,40.56268341,2,Clear,54,64
J1,11-03-2024,11:45,20,28.62054894,2,Clear,55,49
J2,11-03-2024,11:45,19,48.41042094,1,Clear,28,33
J3,11-03-2024,11:45,22,19.74357633,2,Clear,47,78
J4,11-03-2024,11:45,16,28.17226551,1,Clear,41,39
J5,11-03-2024,11:45,15,34.34004035,1,Clear,52,39
J1,11-03-2024,12:00,14,24.50874229,1,Clear,53,47
J2,11-03-2024,12:00,16,32.27172228,1,Clear,21,31
J3,11-03-2024,12:00,20,41.24169445,2,Clear,30,39
J4,11-03-2024,12:00,18,33.92042626,1,Clear,23,78
J5,11-03-2024,12:00,18,36.26488081,1,Clear,35,67
J1,11-03-2024,12:15,16,36.24901791,1,Clear,43,80
J2,11-03-2024,12:15,22,48.48076058,2,Clear,54,54
J3,11-03-2024,12:15,13,50.19543523,1,Clear,54,32
J4,11-03-2024,12:15,24,19.16475399,2,Clear,26,35
J5,11-03-2024,12:15,31,29.80478942,2,Clear,30,67
J1,11-03-2024,12:30,27,41.13870585,2,Clear,30,31
J2,11-03-2024,12:30,24,37.07083598,2,Clear,33,48
J3,11-03-2024,12:30,19,35.37944156,1,Clear,40,82
J4,11-03-2024,12:30,15,25.82940887,1,Clear,29,62
J5,11-03-2024,12:30,21,34.85695588,2,Clear,43,49
J1,11-03-2024,12:45,25,31.98884312,2,Clear,40,65
J2,11-03-2024,12:45,22,57.2893931,2,Clear,38,34
J3,11-03-2024,12:45,21,44.35156508,2,Clear,57,35
J4,11-03-2024,12:45,20,37.54504548,2,Clear,36,71
J5,11-03-2024,12:45,18,36.48878779,1,Clear,42,83
J1,11-03-2024,13:00,12,51.76895777,1,Clear,24,34
J2,11-03-2024,13:00,23,36.26000897,2,Clear,23,39
J3,11-03-2024,13:00,32,24.47088915,2,Clear,38,88
J4,11-03-2024,13:00,22,34.36895822,2,Clear,46,32
J5,11-03-2024,13:00,27,30.30783793,2,Clear,50,69
J1,11-03-2024,13:15,24,40.89506414,2,Clear,51,80
J2,11-03-2024,13:15,23,24.11960641,2,Clear,32,84
J3,11-03-2024,13:15,22,28.36062189,2,Clear,25,74
J4,11-03-2024,13:15,23,51.52673185,2,Clear,39,35
J5,11-03-2024,13:15,26,37.92911906,2,Clear,36,46
J1,11-03-2024,13:30,20,30.46001537,2,Clear,41,79
J2,11-03-2024,13:30,14,41.60048374,1,Clear,57,66
J3,11-03-2024,13:30,23,36.500593,2,Clear,28,70
J4,11-03-2024,13:30,18,35.6859524,1,Clear,56,39
J5,11-03-2024,13:30,15,44.09932788,1,Clear,25,86
J1,11-03-2024,13:45,15,43.19091351,1,Clear,55,38
J2,11-03-2024,13:45,21,41.25702459,2,Clear,33,67
J3,11-03-2024,13:45,15,47.32980241,1,Clear,31,85
J4,11-03-2024,13:45,24,48.10677818,2,Clear,58,64
J5,11-03-2024,13:45,24,43.27883112,2,Clear,25,50
J1,11-03-2024,14:00,18,27.61030739,1,Clear,45,38
J2,11-03-2024,14:00,22,39.33033363,2,Clear,54,55
J3,11-03-2024,14:00,23,39.38288849,2,Clear,52,82
J4,11-03-2024,14:00,27,50.08869251,2,Clear,22,65
J5,11-03-2024,14:00,15,28.98555536,1,Clear,28,47
J1,11-03-2024,14:15,22,27.33881507,2,Clear,21,66
J2,11-03-2024,14:15,13,41.77436047,1,Clear,51,40
J3,11-03-2024,14:15,15,29.40554156,1,Clear,39,58
J4,11-03-2024,14:15,24,40.42370845,2,Clear,53,47
J5,11-03-2024,14:15,25,31.71719185,2,Clear,42,84
J1,11-03-2024,14:30,18,47.995091,1,Clear,20,63
J2,11-03-2024,14:30,20,48.49953075,2,Clear,33,65
J3,11-03-2024,14:30,24,40.25192306,2,Clear,23,55
J4,11-03-2024,14:30,22,45.87972299,2,Clear,20,37
J5,11-03-2024,14:30,18,34.3682262,1,Clear,41,86
J1,11-03-2024,14:45,15,39.29204109,1,Clear,33,59
J2,11-03-2024,14:45,21,57.70965975,2,Clear,52,42
J3,11-03-2024,14:45,19,39.91131048,1,Clear,37,36
J4,11-03-2024,14:45,16,46.73821794,1,Clear,36,58
J5,11-03-2024,14:45,28,44.94504215,2,Clear,49,33
J1,11-03-2024,15:00,20,27.84504701,2,Clear,34,38
J2,11-03-2024,15:00,17,43.05760239,1,Clear,47,31
J3,11-03-2024,15:00,14,42.08794296,1,Clear,23,66
J4,11-03-2024,15:00,16,34.88483305,1,Clear,31,52
J5,11-03-2024,15:00,22,51.95660787,2,Clear,22,45
J1,11-03-2024,15:15,21,43.48117164,2,Clear,59,73
J2,11-03-2024,15:15,25,33.12461759,2,Clear,49,85
J3,11-03-2024,15:15,24,27.76169931,2,Clear,52,60
J4,11-03-2024,15:15,16,42.98028913,1,Clear,42,84
J5,11-03-2024,15:15,17,32.59123292,1,Clear,20,55
J1,11-03-2024,15:30,25,41.09225911,2,Clear,32,55
J2,11-03-2024,15:30,24,44.97648635,2,Clear,26,57
J3,11-03-2024,15:30,21,32.80111266,2,Clear,58,88
J4,11-03-2024,15:30,21,33.10095903,2,Clear,28,36
J5,11-03-2024,15:30,33,32.05925557,2,Clear,57,52
J1,11-03-2024,15:45,18,36.94194477,1,Clear,50,79
J2,11-03-2024,15:45,23,40.49858347,2,Clear,21,38
J3,11-03-2024,15:45,16,49.41620918,1,Clear,59,43
J4,11-03-2024,15:45,20,38.26065734,2,Clear,21,89
J5,11-03-2024,15:45,17,43.997398,1,Clear,38,42
J1,11-03-2024,16:00,15,42.4073247,1,Clear,26,59
J2,11-03-2024,16:00,22,27.3266043,2,Clear,48,75
J3,11-03-2024,16:00,19,38.18371437,1,Clear,26,46
J4,11-03-2024,16:00,24,18.86455952,2,Clear,21,30
J5,11-03-2024,16:00,19,30.303927,1,Clear,25,53
J1,11-03-2024,16:15,17,43.01840082,1,Clear,34,44
J2,11-03-2024,16:15,22,47.00259555,2,Clear,48,81
J3,11-03-2024,16:15,26,47.1676406,2,Clear,43,79
J4,11-03-2024,16:15,18,46.63333615,1,Clear,27,71
J5,11-03-2024,16:15,18,29.24874823,1,Clear,50,51
J1,11-03-2024,16:30,20,51.84944855,2,Clear,30,78
J2,11-03-2024,16:30,26,39.63265139,2,Clear,51,56
J3,11-03-2024,16:30,20,51.65578193,2,Clear,23,42
J4,11-03-2024,16:30,16,40.44897608,1,Clear,40,79
J5,11-03-2024,16:30,12,40.45572868,1,Clear,23,47
J1,11-03-2024,16:45,20,31.52007531,2,Clear,25,45
J2,11-03-2024,16:45,21,48.55088973,2,Clear,51,30
J3,11-03-2024,16:45,18,31.25801777,1,Clear,22,88
J4,11-03-2024,16:45,21,23.28483938,2,Clear,30,60
J5,11-03-2024,16:45,15,33.99427976,1,Clear,47,49
J1,11-03-2024,17:00,34,14.50514473,2,Clear,20,86
J2,11-03-2024,17:00,36,44.32397238,2,Clear,57,59
J3,11-03-2024,17:00,31,31.77470572,2,Clear,32,66
J4,11-03-2024,17:00,35,38.54353162,2,Clear,29,60
J5,11-03-2024,17:00,37,50.61935785,2,Clear,32,87
J1,11-03-2024,17:15,38,16.0753293,2,Clear,36,54
J2,11-03-2024,17:15,28,45.29008669,2,Clear,20,30
J3,11-03-2024,17:15,30,33.2445547,2,Clear,36,54
J4,11-03-2024,17:15,22,27.25441114,2,Clear,28,55
J5,11-03-2024,17:15,44,24.47839524,3,Clear,51,67
J1,11-03-2024,17:30,30,27.53896565,2,Clear,56,61
J2,11-03-2024,17:30,29,31.07485887,2,Clear,58,82
J3,11-03-2024,17:30,47,42.06355449,3,Clear,22,80
J4,11-03-2024,17:30,30,30.37506817,2,Clear,41,30
J5,11-03-2024,17:30,31,30.87803164,2,Clear,45,37
J1,11-03-2024,17:45,31,42.1387656,2,Clear,52,41
J2,11-03-2024,17:45,45,40.60378914,3,Clear,42,30
J3,11-03-2024,17:45,33,28.43147986,2,Clear,27,35
J4,11-03-2024,17:45,38,29.23506645,2,Clear,34,37
J5,11-03-2024,17:45,37,23.03723551,2,Clear,37,54
J1,11-03-2024,18:00,30,31.88367389,2,Clear,57,52
J2,11-03-2024,18:00,37,40.25448622,2,Clear,26,63
J3,11-03-2024,18:00,26,39.45099101,2,Clear,34,63
J4,11-03-2024,18:00,41,42.36319501,3,Clear,54,33
J5,11-03-2024,18:00,24,34.26701867,2,Clear,50,83
J1,11-03-2024,18:15,27,39.76281265,2,Clear,41,64
J2,11-03-2024,18:15,42,37.20083259,3,Clear,57,48
J3,11-03-2024,18:15,38,45.59777335,2,Clear,26,72
J4,11-03-2024,18:15,39,30.69350643,2,Clear,31,31
J5,11-03-2024,18:15,32,39.46686913,2,Clear,48,70
J1,11-03-2024,18:30,42,33.40852756,3,Clear,22,89
J2,11-03-2024,18:30,35,26.13360461,2,Clear,55,59
J3,11-03-2024,18:30,40,49.41806244,3,Clear,44,76
J4,11-03-2024,18:30,35,33.84529961,2,Clear,34,64
J5,11-03-2024,18:30,39,34.56635384,2,Clear,44,55
J1,11-03-2024,18:45,25,23.20444789,2,Clear,59,45
J2,11-03-2024,18:45,24,41.67875748,2,Clear,54,73
J3,11-03-2024,18:45,29,23.52928852,2,Clear,29,89
J4,11-03-2024,18:45,28,31.40624337,2,Clear,40,59
J5,11-03-2024,18:45,24,42.3812857,2,Clear,34,55
J1,11-03-2024,19:00,31,47.43326779,2,Clear,52,60
J2,11-03-2024,19:00,29,17.51056663,2,Clear,26,39
J3,11-03-2024,19:00,32,19.0897699,2,Clear,53,65
J4,11-03-2024,19:00,51,29.7670015,3,Clear,40,87
J5,11-03-2024,19:00,44,42.46700057,3,Clear,33,61
J1,11-03-2024,19:15,33,30.72251418,2,Clear,44,61
J2,11-03-2024,19:15,32,18.46556685,2,Clear,20,87
J3,11-03-2024,19:15,32,27.21430852,2,Clear,42,39
J4,11-03-2024,19:15,37,35.76089514,2,Clear,31,47
J5,11-03-2024,19:15,32,22.13831226,2,Clear,32,38
J1,11-03-2024,19:30,44,22.37960057,1,Clear,58,48
J2,11-03-2024,19:30,31,40.8466657,2,Clear,29,64
J3,11-03-2024,19:30,30,38.30508025,2,Clear,27,73
J4,11-03-2024,19:30,34,29.13320066,2,Clear,43,53
J5,11-03-2024,19:30,52,46.67842731,3,Clear,58,52
J1,11-03-2024,19:45,42,27.1175968,3,Clear,53,32
J2,11-03-2024,19:45,27,27.9231457,2,Clear,49,35
J3,11-03-2024,19:45,26,30.57761073,2,Clear,51,75
J4,11-03-2024,19:45,33,37.89218602,2,Clear,25,49
J5,11-03-2024,19:45,35,27.34436578,2,Clear,47,68
J1,11-03-2024,20:00,34,35.28737839,2,Clear,54,62
J2,11-03-2024,20:00,38,34.22865606,2,Clear,30,55
J3,11-03-2024,20:00,35,48.21367401,2,Clear,21,66
J4,11-03-2024,20:00,40,32.46543931,3,Clear,46,47
J5,11-03-2024,20:00,28,23.33953169,2,Clear,52,61
J1,11-03-2024,20:15,32,34.8422564,2,Clear,26,82
J2,11-03-2024,20:15,35,58.58835202,2,Clear,44,52
J3,11-03-2024,20:15,39,26.91195263,2,Clear,30,31
J4,11-03-2024,20:15,22,32.44942533,2,Clear,40,78
J5,11-03-2024,20:15,41,26.44848229,3,Clear,28,47
J1,11-03-2024,20:30,36,33.5844041,2,Clear,34,52
J2,11-03-2024,20:30,39,32.8977,2,Clear,40,50
J3,11-03-2024,20:30,37,28.72669878,2,Clear,26,57
J4,11-03-2024,20:30,26,50.65333496,2,Clear,56,55
J5,11-03-2024,20:30,29,27.51984863,2,Clear,21,69
J1,11-03-2024,20:45,42,32.34337522,3,Clear,40,66
J2,11-03-2024,20:45,42,34.45662071,3,Clear,20,79
J3,11-03-2024,20:45,32,32.01028685,2,Clear,50,50
J4,11-03-2024,20:45,34,38.57565775,2,Clear,52,62
J5,11-03-2024,20:45,32,46.22807684,2,Clear,21,87
J1,11-03-2024,21:00,16,35.83594076,1,Clear,37,88
J2,11-03-2024,21:00,20,22.80216826,2,Clear,26,89
J3,11-03-2024,21:00,29,33.9469347,2,Clear,34,32
J4,11-03-2024,21:00,28,46.83649252,2,Clear,29,86
J5,11-03-2024,21:00,20,32.31630598,2,Clear,47,44
J1,11-03-2024,21:15,24,36.38298849,2,Clear,59,30
J2,11-03-2024,21:15,24,36.45229295,2,Clear,50,85
J3,11-03-2024,21:15,27,46.44738381,2,Clear,21,46
J4,11-03-2024,21:15,18,36.09120563,1,Clear,50,37
J5,11-03-2024,21:15,17,45.08717931,1,Clear,39,47
J1,11-03-2024,21:30,23,40.01808015,2,Clear,35,72
J2,11-03-2024,21:30,18,42.13009768,1,Clear,59,43
J3,11-03-2024,21:30,16,45.739777,1,Clear,39,47
